"","lat","lon"
"641",39.198682456,-74.707126194
"642",39.198682456,-74.706126194
"643",39.198682456,-74.705126194
"644",39.198682456,-74.704126194
"645",39.198682456,-74.703126194
"646",39.198682456,-74.702126194
"647",39.198682456,-74.701126194
"648",39.198682456,-74.700126194
"649",39.198682456,-74.699126194
"650",39.198682456,-74.698126194
"651",39.198682456,-74.697126194
"652",39.198682456,-74.696126194
"653",39.198682456,-74.695126194
"654",39.198682456,-74.694126194
"655",39.198682456,-74.693126194
"656",39.198682456,-74.692126194
"657",39.198682456,-74.691126194
"658",39.198682456,-74.690126194
"659",39.198682456,-74.689126194
"660",39.198682456,-74.688126194
"661",39.198682456,-74.687126194
"662",39.198682456,-74.686126194
"663",39.198682456,-74.685126194
"664",39.198682456,-74.684126194
"665",39.198682456,-74.683126194
"666",39.198682456,-74.682126194
"667",39.198682456,-74.681126194
"668",39.198682456,-74.680126194
"669",39.198682456,-74.679126194
"670",39.198682456,-74.678126194
"671",39.198682456,-74.677126194
"672",39.198682456,-74.676126194
"673",39.198682456,-74.675126194
"674",39.198682456,-74.674126194
"675",39.198682456,-74.673126194
"676",39.198682456,-74.672126194
"677",39.198682456,-74.671126194
"678",39.198682456,-74.670126194
"679",39.198682456,-74.669126194
"680",39.198682456,-74.668126194
"681",39.198682456,-74.667126194
"682",39.198682456,-74.666126194
"683",39.198682456,-74.665126194
"684",39.198682456,-74.664126194
"685",39.198682456,-74.663126194
"686",39.198682456,-74.662126194
"687",39.198682456,-74.661126194
"688",39.198682456,-74.660126194
"689",39.198682456,-74.659126194
"690",39.198682456,-74.658126194
"691",39.198682456,-74.657126194
"692",39.198682456,-74.656126194
"693",39.198682456,-74.655126194
"694",39.198682456,-74.654126194
"695",39.198682456,-74.653126194
"696",39.198682456,-74.652126194
"697",39.198682456,-74.651126194
"698",39.197682456,-74.998126194
"699",39.197682456,-74.997126194
"700",39.197682456,-74.996126194
"701",39.197682456,-74.995126194
"702",39.197682456,-74.994126194
"703",39.197682456,-74.993126194
"704",39.197682456,-74.992126194
"705",39.197682456,-74.991126194
"706",39.197682456,-74.990126194
"707",39.197682456,-74.989126194
"708",39.197682456,-74.988126194
"709",39.197682456,-74.987126194
"710",39.197682456,-74.986126194
"711",39.197682456,-74.985126194
"712",39.197682456,-74.984126194
"713",39.197682456,-74.983126194
"714",39.197682456,-74.982126194
"715",39.197682456,-74.981126194
"716",39.197682456,-74.980126194
"717",39.197682456,-74.979126194
"718",39.197682456,-74.978126194
"719",39.197682456,-74.977126194
"720",39.197682456,-74.976126194
"721",39.197682456,-74.975126194
"722",39.197682456,-74.974126194
"723",39.197682456,-74.973126194
"724",39.197682456,-74.972126194
"725",39.197682456,-74.971126194
"726",39.197682456,-74.970126194
"727",39.197682456,-74.969126194
"728",39.197682456,-74.968126194
"729",39.197682456,-74.967126194
"730",39.197682456,-74.966126194
"731",39.197682456,-74.965126194
"732",39.197682456,-74.964126194
"733",39.197682456,-74.963126194
"734",39.197682456,-74.962126194
"735",39.197682456,-74.961126194
"736",39.197682456,-74.960126194
"737",39.197682456,-74.959126194
"738",39.197682456,-74.958126194
"739",39.197682456,-74.957126194
"740",39.197682456,-74.956126194
"741",39.197682456,-74.955126194
"742",39.197682456,-74.954126194
"743",39.197682456,-74.953126194
"744",39.197682456,-74.952126194
"745",39.197682456,-74.951126194
"746",39.197682456,-74.950126194
"747",39.197682456,-74.949126194
"748",39.197682456,-74.948126194
"749",39.197682456,-74.947126194
"750",39.197682456,-74.946126194
"751",39.197682456,-74.945126194
"752",39.197682456,-74.944126194
"753",39.197682456,-74.943126194
"754",39.197682456,-74.942126194
"755",39.197682456,-74.941126194
"756",39.197682456,-74.940126194
"757",39.197682456,-74.939126194
"758",39.197682456,-74.938126194
"759",39.197682456,-74.937126194
"760",39.197682456,-74.936126194
"761",39.197682456,-74.935126194
"762",39.197682456,-74.934126194
"763",39.197682456,-74.933126194
"764",39.197682456,-74.932126194
"765",39.197682456,-74.931126194
"766",39.197682456,-74.930126194
"767",39.197682456,-74.929126194
"768",39.197682456,-74.928126194
"769",39.197682456,-74.927126194
"770",39.197682456,-74.926126194
"771",39.197682456,-74.925126194
"772",39.197682456,-74.924126194
"773",39.197682456,-74.923126194
"774",39.197682456,-74.922126194
"775",39.197682456,-74.921126194
"776",39.197682456,-74.920126194
"777",39.197682456,-74.919126194
"778",39.197682456,-74.918126194
"779",39.197682456,-74.917126194
"780",39.197682456,-74.916126194
"781",39.197682456,-74.915126194
"782",39.197682456,-74.914126194
"783",39.197682456,-74.913126194
"784",39.197682456,-74.912126194
"785",39.197682456,-74.911126194
"786",39.197682456,-74.910126194
"787",39.197682456,-74.909126194
"788",39.197682456,-74.908126194
"789",39.197682456,-74.907126194
"790",39.197682456,-74.906126194
"791",39.197682456,-74.905126194
"792",39.197682456,-74.904126194
"793",39.197682456,-74.903126194
"794",39.197682456,-74.902126194
"795",39.197682456,-74.901126194
"796",39.197682456,-74.900126194
"797",39.197682456,-74.899126194
"798",39.197682456,-74.898126194
"799",39.197682456,-74.897126194
"800",39.197682456,-74.896126194
"801",39.197682456,-74.895126194
"802",39.197682456,-74.894126194
"803",39.197682456,-74.893126194
"804",39.197682456,-74.892126194
"805",39.197682456,-74.891126194
"806",39.197682456,-74.890126194
"807",39.197682456,-74.889126194
"808",39.197682456,-74.888126194
"809",39.197682456,-74.887126194
"810",39.197682456,-74.886126194
"811",39.197682456,-74.885126194
"812",39.197682456,-74.884126194
"813",39.197682456,-74.883126194
"814",39.197682456,-74.882126194
"815",39.197682456,-74.881126194
"816",39.197682456,-74.880126194
"817",39.197682456,-74.879126194
"818",39.197682456,-74.878126194
"819",39.197682456,-74.877126194
"820",39.197682456,-74.876126194
"821",39.197682456,-74.875126194
"822",39.197682456,-74.874126194
"823",39.197682456,-74.873126194
"824",39.197682456,-74.872126194
"825",39.197682456,-74.871126194
"826",39.197682456,-74.870126194
"827",39.197682456,-74.869126194
"828",39.197682456,-74.868126194
"829",39.197682456,-74.867126194
"830",39.197682456,-74.866126194
"831",39.197682456,-74.865126194
"832",39.197682456,-74.864126194
"833",39.197682456,-74.863126194
"834",39.197682456,-74.862126194
"835",39.197682456,-74.861126194
"836",39.197682456,-74.860126194
"837",39.197682456,-74.859126194
"838",39.197682456,-74.858126194
"839",39.197682456,-74.857126194
"840",39.197682456,-74.856126194
"841",39.197682456,-74.855126194
"842",39.197682456,-74.854126194
"843",39.197682456,-74.853126194
"844",39.197682456,-74.852126194
"845",39.197682456,-74.851126194
"846",39.197682456,-74.850126194
"847",39.197682456,-74.849126194
"848",39.197682456,-74.848126194
"849",39.197682456,-74.847126194
"850",39.197682456,-74.846126194
"851",39.197682456,-74.845126194
"852",39.197682456,-74.844126194
"853",39.197682456,-74.843126194
"854",39.197682456,-74.842126194
"855",39.197682456,-74.841126194
"856",39.197682456,-74.840126194
"857",39.197682456,-74.839126194
"858",39.197682456,-74.838126194
"859",39.197682456,-74.837126194
"860",39.197682456,-74.836126194
"861",39.197682456,-74.835126194
"862",39.197682456,-74.834126194
"863",39.197682456,-74.833126194
"864",39.197682456,-74.832126194
"865",39.197682456,-74.831126194
"866",39.197682456,-74.830126194
"867",39.197682456,-74.829126194
"868",39.197682456,-74.828126194
"869",39.197682456,-74.827126194
"870",39.197682456,-74.826126194
"871",39.197682456,-74.825126194
"872",39.197682456,-74.824126194
